x-axis,1,3,4,F1
second,Volt,Volt,Volt,Volt
-2.000000E-03,-100.219910E-03,-2.096812E-03,+1.322566E-03,-3.415832E-03
-1.998000E-03,-100.848051E-03,-2.093671E-03,+1.247189E-03,-3.337707E-03
-1.996000E-03,-100.533981E-03,-2.117227E-03,+1.338269E-03,-3.451233E-03
-1.994000E-03,-101.476192E-03,-2.155700E-03,+1.299796E-03,-3.451843E-03
-1.992000E-03,-100.848051E-03,-2.197315E-03,+1.294300E-03,-3.487854E-03
-1.990000E-03,-100.848051E-03,-2.185537E-03,+1.335129E-03,-3.517151E-03
-1.988000E-03,-100.848051E-03,-2.186322E-03,+1.288803E-03,-3.471985E-03
-1.986000E-03,-101.476192E-03,-2.161982E-03,+1.258967E-03,-3.417663E-03
-1.984000E-03,-100.533981E-03,-2.129790E-03,+1.324921E-03,-3.450622E-03
-1.982000E-03,-100.848051E-03,-2.235788E-03,+1.350047E-03,-3.583069E-03
-1.980000E-03,-100.848051E-03,-2.144708E-03,+1.335129E-03,-3.476257E-03
-1.978000E-03,-100.533981E-03,-2.183182E-03,+1.289589E-03,-3.468933E-03
-1.976000E-03,-100.848051E-03,-2.131360E-03,+1.222849E-03,-3.350525E-03
-1.974000E-03,-100.533981E-03,-2.159626E-03,+1.307648E-03,-3.462830E-03
-1.972000E-03,-100.533981E-03,-2.125079E-03,+1.313929E-03,-3.435364E-03
-1.970000E-03,-101.476192E-03,-2.214589E-03,+1.265248E-03,-3.476257E-03
-1.968000E-03,-100.848051E-03,-2.161197E-03,+1.331203E-03,-3.488464E-03
-1.966000E-03,-100.219910E-03,-2.235788E-03,+1.410506E-03,-3.642273E-03
-1.964000E-03,-100.219910E-03,-2.184752E-03,+1.320996E-03,-3.501892E-03
-1.962000E-03,-100.848051E-03,-2.218514E-03,+1.316285E-03,-3.531189E-03
-1.960000E-03,-100.848051E-03,-2.158841E-03,+1.360254E-03,-3.515320E-03
-1.958000E-03,-100.533981E-03,-2.143138E-03,+1.299796E-03,-3.439636E-03
-1.956000E-03,-100.848051E-03,-2.201241E-03,+1.319425E-03,-3.516540E-03
-1.954000E-03,-100.533981E-03,-2.194174E-03,+1.272315E-03,-3.462219E-03
-1.952000E-03,-101.162121E-03,-2.116442E-03,+1.417572E-03,-3.530579E-03
-1.950000E-03,-99.905840E-03,-2.120367E-03,+1.293514E-03,-3.410339E-03
-1.948000E-03,-100.219910E-03,-2.189463E-03,+1.262107E-03,-3.448181E-03
-1.946000E-03,-99.905840E-03,-2.209092E-03,+1.277811E-03,-3.483581E-03
-1.944000E-03,-100.533981E-03,-2.028502E-03,+1.288803E-03,-3.313293E-03
-1.942000E-03,-101.162121E-03,-2.103094E-03,+1.324136E-03,-3.423767E-03
-1.940000E-03,-100.848051E-03,-2.121938E-03,+1.290374E-03,-3.408508E-03
-1.938000E-03,-100.219910E-03,-2.169048E-03,+1.308433E-03,-3.473816E-03
-1.936000E-03,-100.533981E-03,-2.198885E-03,+1.305292E-03,-3.500671E-03
-1.934000E-03,-100.848051E-03,-2.102308E-03,+1.333558E-03,-3.432312E-03
-1.932000E-03,-100.533981E-03,-2.173759E-03,+1.337484E-03,-3.507385E-03
-1.930000E-03,-100.533981E-03,-2.131360E-03,+1.348477E-03,-3.476257E-03
-1.928000E-03,-100.533981E-03,-2.133715E-03,+1.330418E-03,-3.460998E-03
-1.926000E-03,-100.533981E-03,-2.136071E-03,+1.262893E-03,-3.395691E-03
-1.924000E-03,-99.905840E-03,-2.172974E-03,+1.293514E-03,-3.463440E-03
-1.922000E-03,-100.219910E-03,-2.125079E-03,+1.314714E-03,-3.435974E-03
-1.920000E-03,-100.219910E-03,-2.152560E-03,+1.361825E-03,-3.510437E-03
-1.918000E-03,-101.162121E-03,-2.227937E-03,+1.263678E-03,-3.487854E-03
-1.916000E-03,-100.533981E-03,-2.181611E-03,+1.368891E-03,-3.547668E-03
-1.914000E-03,-100.219910E-03,-2.248351E-03,+1.269174E-03,-3.514099E-03
-1.912000E-03,-100.219910E-03,-2.191818E-03,+1.290374E-03,-3.478699E-03
-1.910000E-03,-101.162121E-03,-2.119582E-03,+1.357114E-03,-3.472595E-03
-1.908000E-03,-101.162121E-03,-2.129790E-03,+1.352403E-03,-3.478088E-03
-1.906000E-03,-100.533981E-03,-2.181611E-03,+1.432491E-03,-3.610535E-03
-1.904000E-03,-100.219910E-03,-2.128219E-03,+1.310788E-03,-3.434753E-03
-1.902000E-03,-99.905840E-03,-2.235788E-03,+1.306077E-03,-3.537903E-03
-1.900000E-03,-100.533981E-03,-2.183967E-03,+1.349262E-03,-3.529358E-03
-1.898000E-03,-100.219910E-03,-2.178470E-03,+1.266033E-03,-3.440857E-03
-1.896000E-03,-100.848051E-03,-2.122723E-03,+1.288803E-03,-3.408508E-03
-1.894000E-03,-100.533981E-03,-2.145493E-03,+1.299796E-03,-3.442078E-03
-1.892000E-03,-100.219910E-03,-2.146278E-03,+1.277026E-03,-3.420715E-03
-1.890000E-03,-101.162121E-03,-2.139212E-03,+1.365751E-03,-3.501282E-03
-1.888000E-03,-100.533981E-03,-2.238144E-03,+1.419928E-03,-3.653870E-03
-1.886000E-03,-100.219910E-03,-2.140782E-03,+1.204790E-03,-3.342590E-03
-1.884000E-03,-99.591770E-03,-2.066976E-03,+1.291159E-03,-3.354797E-03
-1.882000E-03,-99.905840E-03,-2.133715E-03,+1.354758E-03,-3.484802E-03
-1.880000E-03,-100.219910E-03,-2.150989E-03,+1.254256E-03,-3.401794E-03
-1.878000E-03,-99.905840E-03,-2.190248E-03,+1.253470E-03,-3.439636E-03
-1.876000E-03,-100.848051E-03,-2.135286E-03,+1.233841E-03,-3.365173E-03
-1.874000E-03,-99.905840E-03,-2.136856E-03,+1.285663E-03,-3.419495E-03
-1.872000E-03,-100.219910E-03,-2.173759E-03,+1.313144E-03,-3.483581E-03
-1.870000E-03,-100.533981E-03,-2.085820E-03,+1.302937E-03,-3.385315E-03
-1.868000E-03,-101.476192E-03,-2.175330E-03,+1.275455E-03,-3.447571E-03
-1.866000E-03,-100.533981E-03,-2.175330E-03,+1.262107E-03,-3.434143E-03
-1.864000E-03,-100.533981E-03,-2.175330E-03,+1.345336E-03,-3.517151E-03
-1.862000E-03,-102.104332E-03,-2.119582E-03,+1.231486E-03,-3.347473E-03
-1.860000E-03,-100.533981E-03,-2.191818E-03,+1.270744E-03,-3.459167E-03
-1.858000E-03,-100.848051E-03,-2.201241E-03,+1.335914E-03,-3.533630E-03
-1.856000E-03,-100.533981E-03,-2.144708E-03,+1.293514E-03,-3.434143E-03
-1.854000E-03,-100.533981E-03,-2.158056E-03,+1.337484E-03,-3.492126E-03
-1.852000E-03,-101.162121E-03,-2.162767E-03,+1.323351E-03,-3.482971E-03
-1.850000E-03,-101.162121E-03,-2.192604E-03,+1.300581E-03,-3.489075E-03
-1.848000E-03,-101.476192E-03,-2.171404E-03,+1.276241E-03,-3.444519E-03
-1.846000E-03,-100.219910E-03,-2.197315E-03,+1.293514E-03,-3.487244E-03
-1.844000E-03,-101.162121E-03,-2.244425E-03,+1.294300E-03,-3.534851E-03
-1.842000E-03,-100.533981E-03,-2.175330E-03,+1.251115E-03,-3.423157E-03
-1.840000E-03,-100.848051E-03,-2.129790E-03,+1.216567E-03,-3.343201E-03
-1.838000E-03,-100.533981E-03,-2.106234E-03,+1.337484E-03,-3.440247E-03
-1.836000E-03,-100.533981E-03,-2.047346E-03,+1.273100E-03,-3.316955E-03
-1.834000E-03,-100.848051E-03,-2.225581E-03,+1.300581E-03,-3.523254E-03
-1.832000E-03,-100.848051E-03,-2.141567E-03,+1.351617E-03,-3.489685E-03
-1.830000E-03,-100.848051E-03,-2.132145E-03,+1.231486E-03,-3.359680E-03
-1.828000E-03,-100.219910E-03,-2.112516E-03,+1.309218E-03,-3.417663E-03
-1.826000E-03,-100.219910E-03,-2.244425E-03,+1.266033E-03,-3.506775E-03
-1.824000E-03,-99.905840E-03,-2.093671E-03,+1.288803E-03,-3.378601E-03
-1.822000E-03,-100.848051E-03,-2.104664E-03,+1.287233E-03,-3.388367E-03
-1.820000E-03,-100.533981E-03,-2.169834E-03,+1.349262E-03,-3.515320E-03
-1.818000E-03,-100.533981E-03,-2.181611E-03,+1.347692E-03,-3.525696E-03
-1.816000E-03,-100.848051E-03,-2.183967E-03,+1.307648E-03,-3.487854E-03
-1.814000E-03,-101.162121E-03,-2.241285E-03,+1.298226E-03,-3.534851E-03
-1.812000E-03,-100.848051E-03,-2.121153E-03,+1.367321E-03,-3.484802E-03
-1.810000E-03,-100.848051E-03,-2.165122E-03,+1.259752E-03,-3.421326E-03
-1.808000E-03,-100.848051E-03,-2.097597E-03,+1.298226E-03,-3.391418E-03
-1.806000E-03,-100.533981E-03,-2.213803E-03,+1.293514E-03,-3.504333E-03
-1.804000E-03,-100.533981E-03,-2.203596E-03,+1.264463E-03,-3.464661E-03
-1.802000E-03,-99.905840E-03,-2.158056E-03,+1.250330E-03,-3.404846E-03
-1.800000E-03,-101.162121E-03,-2.263269E-03,+1.313929E-03,-3.573303E-03
-1.798000E-03,-100.219910E-03,-2.111731E-03,+1.299796E-03,-3.407898E-03
-1.796000E-03,-100.219910E-03,-2.201241E-03,+1.228345E-03,-3.426208E-03
-1.794000E-03,-101.162121E-03,-2.184752E-03,+1.389306E-03,-3.570251E-03
-1.792000E-03,-100.848051E-03,-2.199670E-03,+1.284092E-03,-3.480530E-03
-1.790000E-03,-101.162121E-03,-2.086605E-03,+1.337484E-03,-3.420105E-03
-1.788000E-03,-100.848051E-03,-2.147849E-03,+1.342195E-03,-3.486023E-03
-1.786000E-03,-101.790262E-03,-2.093671E-03,+1.301366E-03,-3.391418E-03
-1.784000E-03,-101.790262E-03,-2.119582E-03,+1.379099E-03,-3.495178E-03
-1.782000E-03,-101.162121E-03,-2.165908E-03,+1.281737E-03,-3.444519E-03
-1.780000E-03,-100.533981E-03,-2.153345E-03,+1.419928E-03,-3.569031E-03
-1.778000E-03,-100.848051E-03,-2.139997E-03,+1.357899E-03,-3.493957E-03
-1.776000E-03,-100.533981E-03,-2.137641E-03,+1.297440E-03,-3.431702E-03
-1.774000E-03,-99.905840E-03,-2.167478E-03,+1.317855E-03,-3.481750E-03
-1.772000E-03,-100.848051E-03,-2.142352E-03,+1.251900E-03,-3.390808E-03
-1.770000E-03,-101.790262E-03,-2.159626E-03,+1.298226E-03,-3.454285E-03
-1.768000E-03,-101.790262E-03,-2.108590E-03,+1.369677E-03,-3.474426E-03
-1.766000E-03,-100.533981E-03,-2.176900E-03,+1.273885E-03,-3.446350E-03
-1.764000E-03,-100.533981E-03,-2.169834E-03,+1.377528E-03,-3.544006E-03
-1.762000E-03,-101.790262E-03,-2.237359E-03,+1.265248E-03,-3.498840E-03
-1.760000E-03,-101.162121E-03,-2.172189E-03,+1.325707E-03,-3.493957E-03
-1.758000E-03,-101.476192E-03,-2.216159E-03,+1.319425E-03,-3.531799E-03
-1.756000E-03,-101.476192E-03,-2.174545E-03,+1.276241E-03,-3.447571E-03
-1.754000E-03,-100.533981E-03,-2.147063E-03,+1.339840E-03,-3.484192E-03
-1.752000E-03,-100.533981E-03,-2.199670E-03,+1.302937E-03,-3.498840E-03
-1.750000E-03,-100.848051E-03,-2.156486E-03,+1.367321E-03,-3.519592E-03
-1.748000E-03,-100.848051E-03,-2.204381E-03,+1.277811E-03,-3.478088E-03
-1.746000E-03,-100.219910E-03,-2.188678E-03,+1.328847E-03,-3.513489E-03
-1.744000E-03,-101.162121E-03,-2.128219E-03,+1.293514E-03,-3.418274E-03
-1.742000E-03,-101.162121E-03,-2.098383E-03,+1.274670E-03,-3.369446E-03
-1.740000E-03,-101.476192E-03,-2.172974E-03,+1.310003E-03,-3.479919E-03
-1.738000E-03,-101.162121E-03,-2.185537E-03,+1.383025E-03,-3.564148E-03
-1.736000E-03,-100.848051E-03,-2.230292E-03,+1.347692E-03,-3.574524E-03
-1.734000E-03,-101.790262E-03,-2.221655E-03,+1.296655E-03,-3.514709E-03
-1.732000E-03,-101.790262E-03,-2.132930E-03,+1.266818E-03,-3.396301E-03
-1.730000E-03,-100.533981E-03,-2.182396E-03,+1.318640E-03,-3.497620E-03
-1.728000E-03,-100.533981E-03,-2.198885E-03,+1.356329E-03,-3.551941E-03
-1.726000E-03,-100.533981E-03,-2.159626E-03,+1.307648E-03,-3.464050E-03
-1.724000E-03,-100.533981E-03,-2.081109E-03,+1.285663E-03,-3.363342E-03
-1.722000E-03,-100.848051E-03,-2.153345E-03,+1.330418E-03,-3.479919E-03
-1.720000E-03,-100.533981E-03,-2.100738E-03,+1.342981E-03,-3.440247E-03
-1.718000E-03,-101.162121E-03,-2.104664E-03,+1.304507E-03,-3.406067E-03
-1.716000E-03,-100.848051E-03,-2.102308E-03,+1.326492E-03,-3.424988E-03
-1.714000E-03,-101.790262E-03,-2.199670E-03,+1.376743E-03,-3.573303E-03
-1.712000E-03,-101.162121E-03,-2.169834E-03,+1.291159E-03,-3.457336E-03
-1.710000E-03,-101.476192E-03,-2.196530E-03,+1.276241E-03,-3.468933E-03
-1.708000E-03,-101.476192E-03,-2.099953E-03,+1.299796E-03,-3.396301E-03
-1.706000E-03,-101.162121E-03,-2.129004E-03,+1.270744E-03,-3.396301E-03
-1.704000E-03,-100.848051E-03,-2.151774E-03,+1.278596E-03,-3.426819E-03
-1.702000E-03,-101.790262E-03,-2.069331E-03,+1.287233E-03,-3.352966E-03
-1.700000E-03,-101.476192E-03,-2.177685E-03,+1.367321E-03,-3.540955E-03
-1.698000E-03,-100.219910E-03,-2.126649E-03,+1.320996E-03,-3.443298E-03
-1.696000E-03,-101.162121E-03,-2.199670E-03,+1.252685E-03,-3.448791E-03
-1.694000E-03,-99.905840E-03,-2.175330E-03,+1.315499E-03,-3.487854E-03
-1.692000E-03,-101.162121E-03,-2.166693E-03,+1.279381E-03,-3.442078E-03
-1.690000E-03,-100.533981E-03,-2.150204E-03,+1.423854E-03,-3.570251E-03
-1.688000E-03,-100.533981E-03,-2.154915E-03,+1.270744E-03,-3.421936E-03
-1.686000E-03,-99.905840E-03,-2.212233E-03,+1.268389E-03,-3.476868E-03
-1.684000E-03,-100.219910E-03,-2.220085E-03,+1.278596E-03,-3.494568E-03
-1.682000E-03,-100.533981E-03,-2.121153E-03,+1.283307E-03,-3.401184E-03
-1.680000E-03,-100.533981E-03,-2.137641E-03,+1.259752E-03,-3.393860E-03
-1.678000E-03,-100.533981E-03,-2.187893E-03,+1.281737E-03,-3.465881E-03
-1.676000E-03,-100.533981E-03,-2.199670E-03,+1.368891E-03,-3.564148E-03
-1.674000E-03,-100.533981E-03,-2.139997E-03,+1.339840E-03,-3.476257E-03
-1.672000E-03,-100.848051E-03,-2.202026E-03,+1.351617E-03,-3.550110E-03
-1.670000E-03,-101.162121E-03,-2.147063E-03,+1.299011E-03,-3.442078E-03
-1.668000E-03,-100.533981E-03,-2.214589E-03,+1.207145E-03,-3.418274E-03
-1.666000E-03,-100.848051E-03,-2.093671E-03,+1.286448E-03,-3.376160E-03
-1.664000E-03,-101.476192E-03,-2.154130E-03,+1.377528E-03,-3.528137E-03
-1.662000E-03,-100.848051E-03,-2.109375E-03,+1.297440E-03,-3.403015E-03
-1.660000E-03,-100.533981E-03,-2.183967E-03,+1.276241E-03,-3.456116E-03
-1.658000E-03,-101.476192E-03,-2.067761E-03,+1.307648E-03,-3.371887E-03
-1.656000E-03,-101.162121E-03,-2.165908E-03,+1.300581E-03,-3.462830E-03
-1.654000E-03,-101.162121E-03,-2.237359E-03,+1.251900E-03,-3.486023E-03
-1.652000E-03,-100.848051E-03,-2.133715E-03,+1.375958E-03,-3.505554E-03
-1.650000E-03,-101.162121E-03,-2.141567E-03,+1.372032E-03,-3.509827E-03
-1.648000E-03,-100.533981E-03,-2.127434E-03,+1.308433E-03,-3.432312E-03
-1.646000E-03,-99.591770E-03,-2.164337E-03,+1.331203E-03,-3.492126E-03
-1.644000E-03,-99.591770E-03,-2.230292E-03,+1.365751E-03,-3.592224E-03
-1.642000E-03,-100.848051E-03,-2.263269E-03,+1.357114E-03,-3.616028E-03
-1.640000E-03,-101.476192E-03,-2.114086E-03,+1.315499E-03,-3.425598E-03
-1.638000E-03,-100.533981E-03,-2.118012E-03,+1.390876E-03,-3.504944E-03
-1.636000E-03,-101.162121E-03,-2.222440E-03,+1.280166E-03,-3.498230E-03
-1.634000E-03,-100.219910E-03,-2.092886E-03,+1.317855E-03,-3.406677E-03
-1.632000E-03,-100.848051E-03,-2.118797E-03,+1.421498E-03,-3.536682E-03
-1.630000E-03,-100.848051E-03,-2.134501E-03,+1.288018E-03,-3.419495E-03
-1.628000E-03,-100.533981E-03,-2.210663E-03,+1.304507E-03,-3.511047E-03
-1.626000E-03,-100.533981E-03,-2.204381E-03,+1.309218E-03,-3.510437E-03
-1.624000E-03,-100.848051E-03,-2.081894E-03,+1.284878E-03,-3.362732E-03
-1.622000E-03,-100.848051E-03,-2.179256E-03,+1.303722E-03,-3.479309E-03
-1.620000E-03,-100.848051E-03,-2.067761E-03,+1.350047E-03,-3.414001E-03
-1.618000E-03,-101.476192E-03,-2.140782E-03,+1.295870E-03,-3.432922E-03
-1.616000E-03,-101.476192E-03,-1.976680E-03,+1.227560E-03,-3.200989E-03
-1.614000E-03,-101.162121E-03,-2.210663E-03,+1.299011E-03,-3.506164E-03
-1.612000E-03,-100.848051E-03,-2.116442E-03,+1.196153E-03,-3.308411E-03
-1.610000E-03,-101.162121E-03,-2.143923E-03,+1.303722E-03,-3.443909E-03
-1.608000E-03,-100.533981E-03,-2.207522E-03,+1.317070E-03,-3.520813E-03
-1.606000E-03,-100.533981E-03,-2.125864E-03,+1.449764E-03,-3.572082E-03
-1.604000E-03,-100.533981E-03,-2.063835E-03,+1.334344E-03,-3.394470E-03
-1.602000E-03,-100.219910E-03,-2.158056E-03,+1.292729E-03,-3.446960E-03
-1.600000E-03,-100.219910E-03,-2.204381E-03,+1.353973E-03,-3.554993E-03
-1.598000E-03,-100.533981E-03,-2.180826E-03,+1.313144E-03,-3.489685E-03
-1.596000E-03,-100.848051E-03,-2.142352E-03,+1.247189E-03,-3.385925E-03
-1.594000E-03,-100.848051E-03,-2.158841E-03,+1.351617E-03,-3.506775E-03
-1.592000E-03,-100.533981E-03,-2.104664E-03,+1.308433E-03,-3.409729E-03
-1.590000E-03,-100.219910E-03,-2.204381E-03,+1.283307E-03,-3.484802E-03
-1.588000E-03,-100.848051E-03,-2.100738E-03,+1.384595E-03,-3.481750E-03
-1.586000E-03,-99.591770E-03,-2.198100E-03,+1.307648E-03,-3.501892E-03
-1.584000E-03,-99.905840E-03,-2.125864E-03,+1.233841E-03,-3.356628E-03
-1.582000E-03,-99.591770E-03,-2.155700E-03,+1.291944E-03,-3.444519E-03
-1.580000E-03,-99.905840E-03,-2.182396E-03,+1.305292E-03,-3.483581E-03
