x-axis,1,3,4,F1
second,Volt,Volt,Volt,Volt
-2.700000E-03,-98.335488E-03,-1.996310E-03,+1.172723E-03,-3.167847E-03
-2.698000E-03,-98.335488E-03,-1.985317E-03,+1.275581E-03,-3.260376E-03
-2.696000E-03,-98.649559E-03,-2.028502E-03,+1.254382E-03,-3.282349E-03
-2.694000E-03,-98.335488E-03,-2.056768E-03,+1.230041E-03,-3.285767E-03
-2.692000E-03,-98.649559E-03,-1.972755E-03,+1.246530E-03,-3.218384E-03
-2.690000E-03,-99.905840E-03,-1.967258E-03,+1.266159E-03,-3.232300E-03
-2.688000E-03,-98.649559E-03,-1.995525E-03,+1.284218E-03,-3.279419E-03
-2.686000E-03,-98.021418E-03,-1.975895E-03,+1.285789E-03,-3.260620E-03
-2.684000E-03,-97.079207E-03,-2.043420E-03,+1.263804E-03,-3.306763E-03
-2.682000E-03,-97.707348E-03,-2.044206E-03,+1.238678E-03,-3.281861E-03
-2.680000E-03,-98.021418E-03,-1.982962E-03,+1.306203E-03,-3.287964E-03
-2.678000E-03,-97.393277E-03,-1.981392E-03,+1.220619E-03,-3.201294E-03
-2.676000E-03,-97.707348E-03,-1.969614E-03,+1.220619E-03,-3.189087E-03
-2.674000E-03,-98.335488E-03,-2.029287E-03,+1.198634E-03,-3.227417E-03
-2.672000E-03,-97.393277E-03,-2.051272E-03,+1.138961E-03,-3.189575E-03
-2.670000E-03,-98.335488E-03,-1.990814E-03,+1.314055E-03,-3.303589E-03
-2.668000E-03,-98.335488E-03,-2.005732E-03,+1.286574E-03,-3.292359E-03
-2.666000E-03,-98.021418E-03,-1.944488E-03,+1.328188E-03,-3.272095E-03
-2.664000E-03,-97.707348E-03,-1.997095E-03,+1.237108E-03,-3.233521E-03
-2.662000E-03,-98.021418E-03,-2.013584E-03,+1.182145E-03,-3.194702E-03
-2.660000E-03,-98.335488E-03,-2.028502E-03,+1.256737E-03,-3.284302E-03
-2.658000E-03,-98.021418E-03,-1.987673E-03,+1.247315E-03,-3.234253E-03
-2.656000E-03,-98.021418E-03,-1.998665E-03,+1.285004E-03,-3.283325E-03
-2.654000E-03,-97.707348E-03,-1.948414E-03,+1.295996E-03,-3.243775E-03
-2.652000E-03,-98.021418E-03,-1.991599E-03,+1.263019E-03,-3.254273E-03
-2.650000E-03,-98.649559E-03,-1.998665E-03,+1.194708E-03,-3.192261E-03
-2.648000E-03,-97.393277E-03,-1.944488E-03,+1.259093E-03,-3.203247E-03
-2.646000E-03,-98.335488E-03,-1.981392E-03,+1.166442E-03,-3.147339E-03
-2.644000E-03,-98.021418E-03,-1.970399E-03,+1.225330E-03,-3.195191E-03
-2.642000E-03,-98.021418E-03,-1.971969E-03,+1.272441E-03,-3.244263E-03
-2.640000E-03,-98.021418E-03,-1.957051E-03,+1.301492E-03,-3.257935E-03
-2.638000E-03,-98.021418E-03,-2.017510E-03,+1.269300E-03,-3.286255E-03
-2.636000E-03,-98.649559E-03,-1.984532E-03,+1.256737E-03,-3.240357E-03
-2.634000E-03,-97.079207E-03,-2.030858E-03,+1.271656E-03,-3.301880E-03
-2.632000E-03,-98.335488E-03,-1.983747E-03,+1.248100E-03,-3.231323E-03
-2.630000E-03,-98.021418E-03,-1.935851E-03,+1.308559E-03,-3.244019E-03
-2.628000E-03,-98.649559E-03,-1.972755E-03,+1.278722E-03,-3.250855E-03
-2.626000E-03,-98.963629E-03,-2.012799E-03,+1.271656E-03,-3.283814E-03
-2.624000E-03,-98.335488E-03,-1.960192E-03,+1.246530E-03,-3.206177E-03
-2.622000E-03,-98.335488E-03,-2.034784E-03,+1.278722E-03,-3.312378E-03
-2.620000E-03,-98.021418E-03,-2.062265E-03,+1.289715E-03,-3.351441E-03
-2.618000E-03,-97.707348E-03,-2.014369E-03,+1.309344E-03,-3.322388E-03
-2.616000E-03,-98.021418E-03,-1.913866E-03,+1.175864E-03,-3.088745E-03
-2.614000E-03,-98.649559E-03,-2.026932E-03,+1.257522E-03,-3.284302E-03
-2.612000E-03,-99.905840E-03,-1.949985E-03,+1.186071E-03,-3.135620E-03
-2.610000E-03,-98.649559E-03,-2.001021E-03,+1.234752E-03,-3.234986E-03
-2.608000E-03,-98.649559E-03,-1.926429E-03,+1.262233E-03,-3.188111E-03
-2.606000E-03,-98.335488E-03,-2.072472E-03,+1.233182E-03,-3.305298E-03
-2.604000E-03,-98.021418E-03,-2.023791E-03,+1.344677E-03,-3.368042E-03
-2.602000E-03,-98.021418E-03,-1.979036E-03,+1.389432E-03,-3.367554E-03
-2.600000E-03,-99.277699E-03,-2.010443E-03,+1.233182E-03,-3.242798E-03
-2.598000E-03,-97.707348E-03,-1.958621E-03,+1.300707E-03,-3.258423E-03
-2.596000E-03,-98.021418E-03,-2.089746E-03,+1.330544E-03,-3.419312E-03
-2.594000E-03,-97.079207E-03,-2.046561E-03,+1.245745E-03,-3.291626E-03
-2.592000E-03,-98.021418E-03,-2.001806E-03,+1.284218E-03,-3.286011E-03
-2.590000E-03,-97.707348E-03,-1.963333E-03,+1.220619E-03,-3.182984E-03
-2.588000E-03,-98.021418E-03,-1.907585E-03,+1.308559E-03,-3.214966E-03
-2.586000E-03,-98.649559E-03,-1.971184E-03,+1.296781E-03,-3.267212E-03
-2.584000E-03,-97.707348E-03,-2.041850E-03,+1.220619E-03,-3.261841E-03
-2.582000E-03,-97.393277E-03,-2.061480E-03,+1.206486E-03,-3.267700E-03
-2.580000E-03,-98.021418E-03,-2.015154E-03,+1.298352E-03,-3.312866E-03
-2.578000E-03,-97.393277E-03,-2.026147E-03,+1.369017E-03,-3.394409E-03
-2.576000E-03,-98.021418E-03,-1.997095E-03,+1.262233E-03,-3.258667E-03
-2.574000E-03,-98.021418E-03,-2.084250E-03,+1.251241E-03,-3.334595E-03
-2.572000E-03,-98.335488E-03,-2.031643E-03,+1.318766E-03,-3.349487E-03
-2.570000E-03,-98.335488E-03,-2.041850E-03,+1.255167E-03,-3.296753E-03
-2.568000E-03,-98.963629E-03,-2.019865E-03,+1.241819E-03,-3.261109E-03
-2.566000E-03,-98.963629E-03,-2.023006E-03,+1.277937E-03,-3.300659E-03
-2.564000E-03,-98.649559E-03,-1.928785E-03,+1.308559E-03,-3.236694E-03
-2.562000E-03,-98.335488E-03,-2.014369E-03,+1.230041E-03,-3.244019E-03
-2.560000E-03,-98.021418E-03,-2.077968E-03,+1.201775E-03,-3.278931E-03
-2.558000E-03,-98.021418E-03,-2.023006E-03,+1.218264E-03,-3.240845E-03
-2.556000E-03,-97.079207E-03,-1.935066E-03,+1.293640E-03,-3.227661E-03
-2.554000E-03,-98.021418E-03,-2.030072E-03,+1.222975E-03,-3.252075E-03
-2.552000E-03,-98.649559E-03,-2.000236E-03,+1.295996E-03,-3.295777E-03
