x-axis,1,3,4,F1
second,Volt,Volt,Volt,Volt
-2.000000E-03,-97.079207E-03,-2.161039E-03,+1.370462E-03,-3.527527E-03
-1.998000E-03,-96.136996E-03,-2.098225E-03,+1.373602E-03,-3.467712E-03
-1.996000E-03,-94.566644E-03,-2.113144E-03,+1.287233E-03,-3.396301E-03
-1.994000E-03,-96.765137E-03,-2.037767E-03,+1.445839E-03,-3.479919E-03
-1.992000E-03,-96.451066E-03,-2.105292E-03,+1.310003E-03,-3.410950E-03
-1.990000E-03,-97.707348E-03,-2.190091E-03,+1.367321E-03,-3.553162E-03
-1.988000E-03,-96.136996E-03,-2.051900E-03,+1.251115E-03,-3.299866E-03
-1.986000E-03,-95.822925E-03,-2.061322E-03,+1.323351E-03,-3.380432E-03
-1.984000E-03,-94.566644E-03,-2.208935E-03,+1.299011E-03,-3.503723E-03
-1.982000E-03,-96.136996E-03,-2.100581E-03,+1.322566E-03,-3.419495E-03
-1.980000E-03,-96.451066E-03,-2.059752E-03,+1.361825E-03,-3.417663E-03
-1.978000E-03,-96.765137E-03,-1.905072E-03,+1.306862E-03,-3.207703E-03
-1.976000E-03,-95.822925E-03,-2.069174E-03,+1.288803E-03,-3.354187E-03
-1.974000E-03,-95.822925E-03,-2.080951E-03,+1.320210E-03,-3.396912E-03
-1.972000E-03,-96.765137E-03,-2.162610E-03,+1.409720E-03,-3.567810E-03
-1.970000E-03,-96.136996E-03,-2.069959E-03,+1.361825E-03,-3.428039E-03
-1.968000E-03,-96.136996E-03,-2.166536E-03,+1.284878E-03,-3.446960E-03
-1.966000E-03,-95.508855E-03,-2.083307E-03,+1.352403E-03,-3.431702E-03
-1.964000E-03,-95.822925E-03,-2.104507E-03,+1.413646E-03,-3.513489E-03
-1.962000E-03,-95.194785E-03,-2.107647E-03,+1.430920E-03,-3.533630E-03
-1.960000E-03,-96.136996E-03,-2.147691E-03,+1.363395E-03,-3.506775E-03
-1.958000E-03,-96.765137E-03,-2.140625E-03,+1.376743E-03,-3.512878E-03
-1.956000E-03,-96.136996E-03,-2.077026E-03,+1.335129E-03,-3.407898E-03
