x-axis,1,3,4,F1
second,Volt,Volt,Volt,Volt
-2.700000E-03,-98.649559E-03,-2.015939E-03,+1.174294E-03,-3.190308E-03
-2.698000E-03,-98.335488E-03,-1.974325E-03,+1.323477E-03,-3.297486E-03
-2.696000E-03,-98.963629E-03,-2.008088E-03,+1.230826E-03,-3.238159E-03
-2.694000E-03,-99.591770E-03,-1.947629E-03,+1.233967E-03,-3.180542E-03
-2.692000E-03,-99.591770E-03,-1.916222E-03,+1.153094E-03,-3.068726E-03
-2.690000E-03,-98.649559E-03,-1.910726E-03,+1.183716E-03,-3.093384E-03
-2.688000E-03,-99.277699E-03,-1.968044E-03,+1.236323E-03,-3.203003E-03
-2.686000E-03,-98.649559E-03,-1.829067E-03,+1.183716E-03,-3.012085E-03
-2.684000E-03,-98.963629E-03,-2.008088E-03,+1.244174E-03,-3.251587E-03
-2.682000E-03,-98.335488E-03,-1.915437E-03,+1.117761E-03,-3.032105E-03
-2.680000E-03,-98.963629E-03,-1.961762E-03,+1.234752E-03,-3.195679E-03
-2.678000E-03,-98.021418E-03,-1.940562E-03,+1.257522E-03,-3.196900E-03
-2.676000E-03,-98.335488E-03,-1.945273E-03,+1.288144E-03,-3.233277E-03
-2.674000E-03,-98.021418E-03,-1.991599E-03,+1.244960E-03,-3.236206E-03
-2.672000E-03,-98.649559E-03,-2.043420E-03,+1.184501E-03,-3.227661E-03
-2.670000E-03,-98.335488E-03,-1.955481E-03,+1.320336E-03,-3.275025E-03
-2.668000E-03,-98.335488E-03,-1.887170E-03,+1.287359E-03,-3.174439E-03
-2.666000E-03,-98.335488E-03,-1.946059E-03,+1.291285E-03,-3.236939E-03
-2.664000E-03,-98.963629E-03,-1.964903E-03,+1.190782E-03,-3.154663E-03
-2.662000E-03,-98.649559E-03,-1.974325E-03,+1.232397E-03,-3.206177E-03
-2.660000E-03,-98.649559E-03,-1.965688E-03,+1.248885E-03,-3.214234E-03
-2.658000E-03,-99.905840E-03,-1.934281E-03,+1.239463E-03,-3.173218E-03
-2.656000E-03,-98.021418E-03,-1.988458E-03,+1.208056E-03,-3.195923E-03
-2.654000E-03,-98.335488E-03,-2.051272E-03,+1.270870E-03,-3.321411E-03
-2.652000E-03,-98.021418E-03,-1.931140E-03,+1.193138E-03,-3.123902E-03
-2.650000E-03,-98.021418E-03,-1.963333E-03,+1.288929E-03,-3.251099E-03
-2.648000E-03,-98.963629E-03,-1.946844E-03,+1.269300E-03,-3.215454E-03
-2.646000E-03,-98.649559E-03,-2.000236E-03,+1.216693E-03,-3.216431E-03
-2.644000E-03,-98.963629E-03,-1.929570E-03,+1.169583E-03,-3.098511E-03
-2.642000E-03,-98.649559E-03,-1.919363E-03,+1.211197E-03,-3.130249E-03
-2.640000E-03,-98.335488E-03,-1.951555E-03,+1.354099E-03,-3.304321E-03
-2.638000E-03,-98.649559E-03,-1.982177E-03,+1.169583E-03,-3.151245E-03
-2.636000E-03,-98.649559E-03,-2.038709E-03,+1.200205E-03,-3.238648E-03
-2.634000E-03,-99.277699E-03,-1.884030E-03,+1.157805E-03,-3.041870E-03
-2.632000E-03,-99.591770E-03,-1.962547E-03,+1.265374E-03,-3.227173E-03
-2.630000E-03,-98.963629E-03,-1.964118E-03,+1.196279E-03,-3.159790E-03
-2.628000E-03,-99.591770E-03,-1.920933E-03,+1.254382E-03,-3.174683E-03
-2.626000E-03,-98.335488E-03,-2.079539E-03,+1.203345E-03,-3.282105E-03
-2.624000E-03,-97.707348E-03,-1.950770E-03,+1.285789E-03,-3.236450E-03
-2.622000E-03,-97.707348E-03,-1.922503E-03,+1.190782E-03,-3.112671E-03
-2.620000E-03,-98.649559E-03,-2.023006E-03,+1.274796E-03,-3.297486E-03
-2.618000E-03,-98.963629E-03,-1.963333E-03,+1.221404E-03,-3.184448E-03
-2.616000E-03,-99.277699E-03,-1.972755E-03,+1.198634E-03,-3.171265E-03
-2.614000E-03,-98.335488E-03,-1.924074E-03,+1.239463E-03,-3.163208E-03
-2.612000E-03,-98.021418E-03,-1.982177E-03,+1.221404E-03,-3.202515E-03
-2.610000E-03,-98.335488E-03,-1.924859E-03,+1.247315E-03,-3.171265E-03
-2.608000E-03,-98.963629E-03,-1.954696E-03,+1.217478E-03,-3.171997E-03
-2.606000E-03,-98.335488E-03,-1.987673E-03,+1.255167E-03,-3.242066E-03
-2.604000E-03,-98.649559E-03,-1.999451E-03,+1.185286E-03,-3.183960E-03
-2.602000E-03,-98.963629E-03,-1.949199E-03,+1.175864E-03,-3.124878E-03
-2.600000E-03,-98.963629E-03,-1.984532E-03,+1.186857E-03,-3.170777E-03
-2.598000E-03,-98.335488E-03,-1.915437E-03,+1.278722E-03,-3.194214E-03
-2.596000E-03,-98.649559E-03,-1.983747E-03,+1.249671E-03,-3.232544E-03
-2.594000E-03,-99.277699E-03,-1.942133E-03,+1.250456E-03,-3.192017E-03
-2.592000E-03,-99.277699E-03,-1.975895E-03,+1.353314E-03,-3.328736E-03
-2.590000E-03,-99.277699E-03,-1.873037E-03,+1.253596E-03,-3.126099E-03
-2.588000E-03,-98.335488E-03,-1.940562E-03,+1.135820E-03,-3.076050E-03
-2.586000E-03,-98.649559E-03,-1.950770E-03,+1.170368E-03,-3.120239E-03
-2.584000E-03,-98.335488E-03,-1.967258E-03,+1.269300E-03,-3.235718E-03
-2.582000E-03,-98.335488E-03,-1.924074E-03,+1.252026E-03,-3.175415E-03
-2.580000E-03,-99.277699E-03,-1.917007E-03,+1.227686E-03,-3.143677E-03
-2.578000E-03,-98.963629E-03,-2.133716E-03,+1.156235E-03,-3.289185E-03
-2.576000E-03,-98.649559E-03,-1.951555E-03,+1.203345E-03,-3.154907E-03
-2.574000E-03,-98.021418E-03,-1.957836E-03,+1.205701E-03,-3.162476E-03
-2.572000E-03,-98.963629E-03,-1.983747E-03,+1.230041E-03,-3.212525E-03
-2.570000E-03,-99.277699E-03,-1.964118E-03,+1.193923E-03,-3.157593E-03
-2.568000E-03,-99.277699E-03,-1.931140E-03,+1.222189E-03,-3.152222E-03
-2.566000E-03,-99.591770E-03,-1.941348E-03,+1.220619E-03,-3.161255E-03
-2.564000E-03,-99.591770E-03,-1.931925E-03,+1.206486E-03,-3.137329E-03
-2.562000E-03,-99.905840E-03,-1.949985E-03,+1.186071E-03,-3.135376E-03
-2.560000E-03,-99.277699E-03,-1.930355E-03,+1.234752E-03,-3.164429E-03
-2.558000E-03,-98.963629E-03,-1.942918E-03,+1.257522E-03,-3.199341E-03
-2.556000E-03,-99.277699E-03,-1.938992E-03,+1.254382E-03,-3.192505E-03
-2.554000E-03,-98.963629E-03,-1.997095E-03,+1.233182E-03,-3.229614E-03
-2.552000E-03,-99.277699E-03,-2.033213E-03,+1.164872E-03,-3.197632E-03
-2.550000E-03,-98.963629E-03,-2.004947E-03,+1.234752E-03,-3.239624E-03
-2.548000E-03,-98.649559E-03,-1.973540E-03,+1.237108E-03,-3.209595E-03
-2.546000E-03,-99.277699E-03,-1.938207E-03,+1.205701E-03,-3.143433E-03
-2.544000E-03,-99.277699E-03,-1.939777E-03,+1.260663E-03,-3.199097E-03
-2.542000E-03,-98.649559E-03,-1.975895E-03,+1.229256E-03,-3.203980E-03
-2.540000E-03,-98.335488E-03,-1.988458E-03,+1.230826E-03,-3.219361E-03
-2.538000E-03,-98.963629E-03,-1.977466E-03,+1.249671E-03,-3.226196E-03
-2.536000E-03,-98.021418E-03,-1.964903E-03,+1.210412E-03,-3.174927E-03
-2.534000E-03,-98.963629E-03,-1.876963E-03,+1.281078E-03,-3.157349E-03
-2.532000E-03,-98.335488E-03,-1.949985E-03,+1.234752E-03,-3.183960E-03
-2.530000E-03,-98.963629E-03,-1.932711E-03,+1.262233E-03,-3.194702E-03
-2.528000E-03,-98.335488E-03,-1.974325E-03,+1.211982E-03,-3.186157E-03
-2.526000E-03,-98.021418E-03,-1.950770E-03,+1.219834E-03,-3.169800E-03
-2.524000E-03,-98.649559E-03,-1.931925E-03,+1.226115E-03,-3.157105E-03
-2.522000E-03,-99.277699E-03,-1.965688E-03,+1.197064E-03,-3.162476E-03
-2.520000E-03,-99.277699E-03,-1.936637E-03,+1.233182E-03,-3.169068E-03
-2.518000E-03,-98.963629E-03,-2.022221E-03,+1.244174E-03,-3.265503E-03
-2.516000E-03,-98.963629E-03,-1.962547E-03,+1.265374E-03,-3.226929E-03
-2.514000E-03,-98.335488E-03,-1.987673E-03,+1.222975E-03,-3.209839E-03
-2.512000E-03,-99.591770E-03,-1.954696E-03,+1.189997E-03,-3.143433E-03
-2.510000E-03,-98.963629E-03,-1.946844E-03,+1.171938E-03,-3.117798E-03
-2.508000E-03,-98.963629E-03,-1.995525E-03,+1.366662E-03,-3.361206E-03
-2.506000E-03,-99.277699E-03,-2.014369E-03,+1.157020E-03,-3.170532E-03
-2.504000E-03,-98.963629E-03,-1.876963E-03,+1.248885E-03,-3.125122E-03
-2.502000E-03,-99.591770E-03,-1.970399E-03,+1.270085E-03,-3.240112E-03
-2.500000E-03,-99.905840E-03,-1.966473E-03,+1.266159E-03,-3.232544E-03
-2.498000E-03,-98.963629E-03,-1.989243E-03,+1.119331E-03,-3.107544E-03
-2.496000E-03,-99.277699E-03,-1.910726E-03,+1.255952E-03,-3.165894E-03
-2.494000E-03,-98.649559E-03,-2.009658E-03,+1.215123E-03,-3.224487E-03
-2.492000E-03,-98.649559E-03,-1.923289E-03,+1.277152E-03,-3.199585E-03
-2.490000E-03,-98.963629E-03,-1.964118E-03,+1.243389E-03,-3.206421E-03
-2.488000E-03,-98.335488E-03,-1.970399E-03,+1.184501E-03,-3.154419E-03
-2.486000E-03,-98.335488E-03,-2.019080E-03,+1.244174E-03,-3.262329E-03
-2.484000E-03,-98.335488E-03,-1.925644E-03,+1.343892E-03,-3.268921E-03
-2.482000E-03,-98.963629E-03,-2.004947E-03,+1.236323E-03,-3.240357E-03
-2.480000E-03,-98.335488E-03,-1.902089E-03,+1.166442E-03,-3.067749E-03
-2.478000E-03,-98.021418E-03,-1.946059E-03,+1.212767E-03,-3.158081E-03
-2.476000E-03,-97.393277E-03,-1.930355E-03,+1.267730E-03,-3.197388E-03
-2.474000E-03,-97.707348E-03,-1.958621E-03,+1.232397E-03,-3.191040E-03
-2.472000E-03,-98.021418E-03,-1.964118E-03,+1.300707E-03,-3.264038E-03
-2.470000E-03,-98.021418E-03,-2.015154E-03,+1.234752E-03,-3.248902E-03
