x-axis,1,3,4,F1
second,Volt,Volt,Volt,Volt
-2.700000E-03,-100.533981E-03,-2.094299E-03,+1.441913E-03,-3.532410E-03
-2.698000E-03,-100.533981E-03,-2.030700E-03,+1.324921E-03,-3.351135E-03
-2.696000E-03,-100.533981E-03,-2.031485E-03,+1.321781E-03,-3.348694E-03
-2.694000E-03,-100.848051E-03,-1.964745E-03,+1.349262E-03,-3.309631E-03
-2.692000E-03,-99.591770E-03,-2.047974E-03,+1.345336E-03,-3.388367E-03
-2.690000E-03,-99.905840E-03,-2.000078E-03,+1.251115E-03,-3.246155E-03
-2.688000E-03,-100.219910E-03,-2.079381E-03,+1.277026E-03,-3.352356E-03
-2.686000E-03,-99.591770E-03,-2.022848E-03,+1.331988E-03,-3.349914E-03
-2.684000E-03,-99.591770E-03,-2.051900E-03,+1.277811E-03,-3.326111E-03
-2.682000E-03,-100.219910E-03,-2.027560E-03,+1.302151E-03,-3.325500E-03
-2.680000E-03,-99.905840E-03,-2.019708E-03,+1.350832E-03,-3.367004E-03
-2.678000E-03,-99.905840E-03,-2.073100E-03,+1.319425E-03,-3.388367E-03
-2.676000E-03,-99.591770E-03,-2.051900E-03,+1.277026E-03,-3.324280E-03
-2.674000E-03,-100.848051E-03,-1.979664E-03,+1.320996E-03,-3.296204E-03
-2.672000E-03,-99.277699E-03,-2.071529E-03,+1.304507E-03,-3.372497E-03
-2.670000E-03,-100.219910E-03,-2.055041E-03,+1.320210E-03,-3.370666E-03
-2.668000E-03,-99.277699E-03,-2.006360E-03,+1.323351E-03,-3.325500E-03
-2.666000E-03,-99.591770E-03,-1.982805E-03,+1.258967E-03,-3.237610E-03
-2.664000E-03,-100.219910E-03,-2.027560E-03,+1.324136E-03,-3.347473E-03
-2.662000E-03,-100.219910E-03,-2.083307E-03,+1.311574E-03,-3.390808E-03
-2.660000E-03,-99.905840E-03,-2.008715E-03,+1.295085E-03,-3.299866E-03
-2.658000E-03,-100.533981E-03,-2.064463E-03,+1.263678E-03,-3.323669E-03
-2.656000E-03,-100.219910E-03,-2.059752E-03,+1.346906E-03,-3.402405E-03
-2.654000E-03,-100.848051E-03,-2.061322E-03,+1.347692E-03,-3.404846E-03
-2.652000E-03,-100.219910E-03,-2.007930E-03,+1.326492E-03,-3.330994E-03
-2.650000E-03,-99.905840E-03,-2.009500E-03,+1.380669E-03,-3.386536E-03
-2.648000E-03,-100.533981E-03,-2.065248E-03,+1.348477E-03,-3.409729E-03
