x-axis,1,3,4,F1
second,Volt,Volt,Volt,Volt
-2.000000E-03,-98.963629E-03,-2.135129E-03,+1.334344E-03,-3.465271E-03
-1.998000E-03,-99.905840E-03,-2.093514E-03,+1.311574E-03,-3.400574E-03
-1.996000E-03,-99.905840E-03,-2.086448E-03,+1.280952E-03,-3.363342E-03
-1.994000E-03,-99.591770E-03,-2.110788E-03,+1.267604E-03,-3.374329E-03
-1.992000E-03,-99.905840E-03,-2.090374E-03,+1.309218E-03,-3.395080E-03
-1.990000E-03,-98.021418E-03,-2.119425E-03,+1.382239E-03,-3.497620E-03
-1.988000E-03,-98.963629E-03,-2.142195E-03,+1.318640E-03,-3.457336E-03
-1.986000E-03,-98.963629E-03,-2.121781E-03,+1.384595E-03,-3.502502E-03
-1.984000E-03,-98.963629E-03,-2.070744E-03,+1.262107E-03,-3.328552E-03
-1.982000E-03,-99.277699E-03,-2.139055E-03,+1.266818E-03,-3.401794E-03
-1.980000E-03,-99.591770E-03,-2.122566E-03,+1.275455E-03,-3.393860E-03
-1.978000E-03,-99.591770E-03,-2.063678E-03,+1.317855E-03,-3.377380E-03
-1.976000E-03,-99.277699E-03,-2.029130E-03,+1.331988E-03,-3.357239E-03
-1.974000E-03,-99.591770E-03,-2.077811E-03,+1.341410E-03,-3.415222E-03
-1.972000E-03,-99.591770E-03,-2.120995E-03,+1.320996E-03,-3.437805E-03
-1.970000E-03,-98.963629E-03,-2.077026E-03,+1.369677E-03,-3.442688E-03
-1.968000E-03,-98.335488E-03,-2.065248E-03,+1.318640E-03,-3.380432E-03
-1.966000E-03,-99.591770E-03,-2.186950E-03,+1.214997E-03,-3.397522E-03
-1.964000E-03,-99.277699E-03,-2.137484E-03,+1.294300E-03,-3.427429E-03
-1.962000E-03,-99.277699E-03,-2.099796E-03,+1.313929E-03,-3.409119E-03
-1.960000E-03,-99.591770E-03,-2.112359E-03,+1.328062E-03,-3.435364E-03
-1.958000E-03,-99.277699E-03,-2.050330E-03,+1.328062E-03,-3.373718E-03
-1.956000E-03,-98.649559E-03,-2.104507E-03,+1.394017E-03,-3.493957E-03
-1.954000E-03,-98.649559E-03,-2.176743E-03,+1.291159E-03,-3.462830E-03
-1.952000E-03,-98.963629E-03,-2.053470E-03,+1.252685E-03,-3.302307E-03
-1.950000E-03,-98.963629E-03,-2.066818E-03,+1.319425E-03,-3.382873E-03
-1.948000E-03,-98.963629E-03,-2.125707E-03,+1.160035E-03,-3.282165E-03
-1.946000E-03,-99.277699E-03,-2.099796E-03,+1.283307E-03,-3.379822E-03
-1.944000E-03,-98.963629E-03,-2.079381E-03,+1.341410E-03,-3.417053E-03
-1.942000E-03,-98.963629E-03,-2.174387E-03,+1.311574E-03,-3.481750E-03
-1.940000E-03,-99.277699E-03,-2.190091E-03,+1.259752E-03,-3.445740E-03
-1.938000E-03,-99.277699E-03,-2.107647E-03,+1.331988E-03,-3.435974E-03
-1.936000E-03,-99.591770E-03,-2.136699E-03,+1.317070E-03,-3.449402E-03
-1.934000E-03,-99.591770E-03,-2.121781E-03,+1.274670E-03,-3.392639E-03
-1.932000E-03,-98.335488E-03,-2.110788E-03,+1.277811E-03,-3.384705E-03
-1.930000E-03,-99.591770E-03,-2.099011E-03,+1.293514E-03,-3.388367E-03
-1.928000E-03,-98.963629E-03,-2.150832E-03,+1.312359E-03,-3.459167E-03
-1.926000E-03,-98.335488E-03,-2.041693E-03,+1.242478E-03,-3.279724E-03
-1.924000E-03,-98.335488E-03,-2.207365E-03,+1.353188E-03,-3.556213E-03
-1.922000E-03,-98.963629E-03,-2.172817E-03,+1.324921E-03,-3.493957E-03
-1.920000E-03,-99.591770E-03,-1.995367E-03,+1.269959E-03,-3.261414E-03
-1.918000E-03,-99.277699E-03,-2.080166E-03,+1.389306E-03,-3.464661E-03
-1.916000E-03,-99.277699E-03,-2.080166E-03,+1.274670E-03,-3.350525E-03
-1.914000E-03,-98.649559E-03,-2.084877E-03,+1.266033E-03,-3.346252E-03
-1.912000E-03,-98.963629E-03,-2.109218E-03,+1.347692E-03,-3.451843E-03
-1.910000E-03,-98.335488E-03,-1.964745E-03,+1.259752E-03,-3.219910E-03
-1.908000E-03,-98.649559E-03,-2.141410E-03,+1.327277E-03,-3.464050E-03
-1.906000E-03,-99.277699E-03,-2.023634E-03,+1.206360E-03,-3.226013E-03
-1.904000E-03,-98.649559E-03,-2.074670E-03,+1.392447E-03,-3.462830E-03
-1.902000E-03,-98.335488E-03,-2.098225E-03,+1.268389E-03,-3.362732E-03
-1.900000E-03,-98.649559E-03,-2.088803E-03,+1.340625E-03,-3.424988E-03
-1.898000E-03,-99.277699E-03,-2.195587E-03,+1.318640E-03,-3.510437E-03
-1.896000E-03,-98.963629E-03,-2.185380E-03,+1.338269E-03,-3.519592E-03
-1.894000E-03,-99.277699E-03,-2.165750E-03,+1.262893E-03,-3.423767E-03
-1.892000E-03,-98.649559E-03,-2.022063E-03,+1.215782E-03,-3.233337E-03
-1.890000E-03,-98.963629E-03,-2.104507E-03,+1.321781E-03,-3.421936E-03
-1.888000E-03,-99.905840E-03,-2.112359E-03,+1.339840E-03,-3.447571E-03
-1.886000E-03,-98.335488E-03,-2.083307E-03,+1.331203E-03,-3.410339E-03
-1.884000E-03,-98.649559E-03,-2.175958E-03,+1.294300E-03,-3.465881E-03
-1.882000E-03,-98.963629E-03,-2.084877E-03,+1.268389E-03,-3.348694E-03
-1.880000E-03,-99.277699E-03,-2.116284E-03,+1.345336E-03,-3.457947E-03
-1.878000E-03,-98.335488E-03,-2.086448E-03,+1.224419E-03,-3.306580E-03
