x-axis,1,3,4,F1
second,Volt,Volt,Volt,Volt
-2.000000E-03,-99.905840E-03,-2.075220E-03,+1.396702E-03,-3.469543E-03
-1.998000E-03,-98.649559E-03,-2.139604E-03,+1.478361E-03,-3.614197E-03
-1.996000E-03,-99.905840E-03,-2.160019E-03,+1.432820E-03,-3.590393E-03
-1.994000E-03,-98.963629E-03,-2.254240E-03,+1.456376E-03,-3.706970E-03
-1.992000E-03,-98.963629E-03,-2.174152E-03,+1.398273E-03,-3.569641E-03
-1.990000E-03,-98.649559E-03,-2.021828E-03,+1.528612E-03,-3.547668E-03
-1.988000E-03,-99.277699E-03,-2.072079E-03,+1.420258E-03,-3.487854E-03
-1.986000E-03,-99.277699E-03,-2.142745E-03,+1.483072E-03,-3.621521E-03
-1.984000E-03,-99.277699E-03,-2.117619E-03,+1.390421E-03,-3.503723E-03
-1.982000E-03,-98.335488E-03,-2.106627E-03,+1.417117E-03,-3.520203E-03
-1.980000E-03,-99.277699E-03,-2.101916E-03,+1.402984E-03,-3.500671E-03
-1.978000E-03,-99.905840E-03,-2.141175E-03,+1.483072E-03,-3.620911E-03
-1.976000E-03,-100.219910E-03,-2.142745E-03,+1.401413E-03,-3.540344E-03
-1.974000E-03,-99.277699E-03,-2.048524E-03,+1.337029E-03,-3.382263E-03
-1.972000E-03,-99.277699E-03,-2.210270E-03,+1.519190E-03,-3.725281E-03
-1.970000E-03,-99.591770E-03,-2.035961E-03,+1.443813E-03,-3.474426E-03
-1.968000E-03,-99.905840E-03,-2.214981E-03,+1.370006E-03,-3.580627E-03
-1.966000E-03,-99.277699E-03,-2.090923E-03,+1.385710E-03,-3.473816E-03
-1.964000E-03,-99.905840E-03,-2.101916E-03,+1.467368E-03,-3.564758E-03
-1.962000E-03,-99.905840E-03,-2.070509E-03,+1.395132E-03,-3.462219E-03
-1.960000E-03,-100.219910E-03,-2.114479E-03,+1.410835E-03,-3.522034E-03
-1.958000E-03,-99.591770E-03,-2.136464E-03,+1.355873E-03,-3.489075E-03
-1.956000E-03,-98.649559E-03,-2.114479E-03,+1.437531E-03,-3.547668E-03
-1.954000E-03,-99.277699E-03,-2.097205E-03,+1.382569E-03,-3.476868E-03
-1.952000E-03,-99.905840E-03,-2.073650E-03,+1.404554E-03,-3.473816E-03
-1.950000E-03,-99.591770E-03,-2.111338E-03,+1.440672E-03,-3.548279E-03
-1.948000E-03,-99.905840E-03,-2.081501E-03,+1.373147E-03,-3.450622E-03
-1.946000E-03,-99.905840E-03,-2.078361E-03,+1.470509E-03,-3.545227E-03
-1.944000E-03,-99.591770E-03,-2.048524E-03,+1.473650E-03,-3.518372E-03
-1.942000E-03,-99.591770E-03,-2.142745E-03,+1.387280E-03,-3.525696E-03
-1.940000E-03,-99.277699E-03,-2.111338E-03,+1.385710E-03,-3.492126E-03
-1.938000E-03,-98.963629E-03,-2.134893E-03,+1.382569E-03,-3.514709E-03
-1.936000E-03,-99.591770E-03,-2.163160E-03,+1.407695E-03,-3.567200E-03
-1.934000E-03,-98.963629E-03,-2.067368E-03,+1.412406E-03,-3.475647E-03
-1.932000E-03,-99.591770E-03,-2.100345E-03,+1.470509E-03,-3.567200E-03
-1.930000E-03,-99.277699E-03,-2.131753E-03,+1.461087E-03,-3.589172E-03
-1.928000E-03,-98.021418E-03,-2.196137E-03,+1.478361E-03,-3.670349E-03
-1.926000E-03,-98.963629E-03,-2.067368E-03,+1.457946E-03,-3.520813E-03
-1.924000E-03,-99.591770E-03,-2.103486E-03,+1.388851E-03,-3.489685E-03
-1.922000E-03,-99.277699E-03,-2.197707E-03,+1.391991E-03,-3.585510E-03
-1.920000E-03,-99.591770E-03,-2.141175E-03,+1.484642E-03,-3.622742E-03
-1.918000E-03,-99.591770E-03,-2.117619E-03,+1.384139E-03,-3.497620E-03
-1.916000E-03,-99.277699E-03,-2.089353E-03,+1.437531E-03,-3.523865E-03
-1.914000E-03,-99.277699E-03,-2.083072E-03,+1.406124E-03,-3.484802E-03
-1.912000E-03,-99.905840E-03,-2.166300E-03,+1.395132E-03,-3.558655E-03
-1.910000E-03,-98.963629E-03,-2.213411E-03,+1.426539E-03,-3.636169E-03
-1.908000E-03,-98.963629E-03,-2.089353E-03,+1.450094E-03,-3.535461E-03
-1.906000E-03,-99.591770E-03,-2.172582E-03,+1.435961E-03,-3.606262E-03
-1.904000E-03,-99.591770E-03,-2.136464E-03,+1.434391E-03,-3.567200E-03
-1.902000E-03,-98.963629E-03,-2.152167E-03,+1.326036E-03,-3.475647E-03
-1.900000E-03,-99.277699E-03,-2.177293E-03,+1.451665E-03,-3.624573E-03
-1.898000E-03,-99.591770E-03,-2.095634E-03,+1.437531E-03,-3.529358E-03
-1.896000E-03,-98.649559E-03,-2.106627E-03,+1.374717E-03,-3.477478E-03
-1.894000E-03,-98.963629E-03,-2.188285E-03,+1.337029E-03,-3.522644E-03
-1.892000E-03,-99.277699E-03,-2.127041E-03,+1.357444E-03,-3.479919E-03
-1.890000E-03,-98.963629E-03,-2.109768E-03,+1.380999E-03,-3.486633E-03
-1.888000E-03,-99.905840E-03,-2.123901E-03,+1.426539E-03,-3.546448E-03
-1.886000E-03,-99.277699E-03,-2.103486E-03,+1.413976E-03,-3.514709E-03
-1.884000E-03,-99.591770E-03,-2.134893E-03,+1.454805E-03,-3.586121E-03
-1.882000E-03,-99.591770E-03,-2.192996E-03,+1.489353E-03,-3.678894E-03
-1.880000E-03,-99.591770E-03,-2.120760E-03,+1.406124E-03,-3.524475E-03
-1.878000E-03,-99.905840E-03,-2.097205E-03,+1.442242E-03,-3.535461E-03
-1.876000E-03,-99.591770E-03,-2.139604E-03,+1.382569E-03,-3.518372E-03
-1.874000E-03,-99.277699E-03,-2.161589E-03,+1.379428E-03,-3.536072E-03
-1.872000E-03,-99.591770E-03,-2.156878E-03,+1.456376E-03,-3.609924E-03
-1.870000E-03,-99.591770E-03,-2.097205E-03,+1.412406E-03,-3.506164E-03
-1.868000E-03,-99.277699E-03,-2.084642E-03,+1.462657E-03,-3.542786E-03
-1.866000E-03,-98.649559E-03,-2.029680E-03,+1.407695E-03,-3.434753E-03
-1.864000E-03,-98.649559E-03,-2.150597E-03,+1.486212E-03,-3.632507E-03
-1.862000E-03,-99.905840E-03,-2.108197E-03,+1.393562E-03,-3.497620E-03
-1.860000E-03,-99.905840E-03,-2.112908E-03,+1.404554E-03,-3.514099E-03
-1.858000E-03,-99.905840E-03,-2.199278E-03,+1.487783E-03,-3.682556E-03
-1.856000E-03,-99.591770E-03,-2.138034E-03,+1.373147E-03,-3.507385E-03
-1.854000E-03,-99.591770E-03,-2.079931E-03,+1.432820E-03,-3.509216E-03
-1.852000E-03,-99.591770E-03,-2.116049E-03,+1.407695E-03,-3.518982E-03
-1.850000E-03,-97.707348E-03,-2.114479E-03,+1.421828E-03,-3.534241E-03
-1.848000E-03,-99.591770E-03,-2.160019E-03,+1.395132E-03,-3.552551E-03
-1.846000E-03,-98.649559E-03,-2.075220E-03,+1.479931E-03,-3.551330E-03
-1.844000E-03,-99.277699E-03,-2.109768E-03,+1.410835E-03,-3.517151E-03
-1.842000E-03,-99.591770E-03,-2.138034E-03,+1.440672E-03,-3.574524E-03
-1.840000E-03,-99.591770E-03,-2.177293E-03,+1.429680E-03,-3.603821E-03
-1.838000E-03,-99.905840E-03,-2.139604E-03,+1.360584E-03,-3.497009E-03
-1.836000E-03,-99.277699E-03,-2.072079E-03,+1.382569E-03,-3.450622E-03
-1.834000E-03,-99.277699E-03,-2.086212E-03,+1.443813E-03,-3.525696E-03
-1.832000E-03,-98.649559E-03,-2.109768E-03,+1.352732E-03,-3.457947E-03
-1.830000E-03,-99.591770E-03,-2.119190E-03,+1.428109E-03,-3.543396E-03
-1.828000E-03,-99.905840E-03,-2.182004E-03,+1.470509E-03,-3.648987E-03
-1.826000E-03,-98.963629E-03,-2.169441E-03,+1.437531E-03,-3.603821E-03
-1.824000E-03,-99.277699E-03,-2.070509E-03,+1.479931E-03,-3.545837E-03
-1.822000E-03,-99.905840E-03,-2.070509E-03,+1.423398E-03,-3.489685E-03
-1.820000E-03,-98.963629E-03,-2.125471E-03,+1.440672E-03,-3.562317E-03
-1.818000E-03,-98.963629E-03,-1.993562E-03,+1.464227E-03,-3.454285E-03
-1.816000E-03,-99.277699E-03,-2.094064E-03,+1.385710E-03,-3.476257E-03
-1.814000E-03,-99.591770E-03,-2.086212E-03,+1.445383E-03,-3.528137E-03
-1.812000E-03,-99.277699E-03,-2.142745E-03,+1.431250E-03,-3.570862E-03
-1.810000E-03,-98.963629E-03,-2.150597E-03,+1.451665E-03,-3.598328E-03
-1.808000E-03,-99.277699E-03,-2.147456E-03,+1.486212E-03,-3.631287E-03
-1.806000E-03,-99.591770E-03,-2.042242E-03,+1.489353E-03,-3.528747E-03
-1.804000E-03,-99.277699E-03,-2.112908E-03,+1.432820E-03,-3.542175E-03
-1.802000E-03,-99.277699E-03,-2.138034E-03,+1.363725E-03,-3.498230E-03
-1.800000E-03,-99.277699E-03,-2.120760E-03,+1.426539E-03,-3.544617E-03
-1.798000E-03,-98.649559E-03,-2.138034E-03,+1.319755E-03,-3.454285E-03
-1.796000E-03,-98.649559E-03,-2.117619E-03,+1.390421E-03,-3.504333E-03
-1.794000E-03,-99.591770E-03,-2.079931E-03,+1.472079E-03,-3.547668E-03
-1.792000E-03,-99.591770E-03,-2.095634E-03,+1.454805E-03,-3.547058E-03
-1.790000E-03,-98.963629E-03,-2.222833E-03,+1.470509E-03,-3.689880E-03
-1.788000E-03,-98.649559E-03,-2.128612E-03,+1.418687E-03,-3.543396E-03
-1.786000E-03,-98.649559E-03,-2.090923E-03,+1.398273E-03,-3.484192E-03
-1.784000E-03,-99.277699E-03,-2.205559E-03,+1.479931E-03,-3.681335E-03
-1.782000E-03,-99.277699E-03,-2.130182E-03,+1.377858E-03,-3.504333E-03
-1.780000E-03,-100.219910E-03,-2.123901E-03,+1.296200E-03,-3.416443E-03
-1.778000E-03,-98.649559E-03,-2.114479E-03,+1.459516E-03,-3.571472E-03
-1.776000E-03,-99.277699E-03,-2.263662E-03,+1.428109E-03,-3.688049E-03
-1.774000E-03,-99.277699E-03,-2.054805E-03,+1.484642E-03,-3.537292E-03
-1.772000E-03,-99.591770E-03,-2.127041E-03,+1.446954E-03,-3.571472E-03
-1.770000E-03,-98.963629E-03,-2.192996E-03,+1.404554E-03,-3.594055E-03
-1.768000E-03,-99.277699E-03,-2.111338E-03,+1.370006E-03,-3.478088E-03
-1.766000E-03,-99.277699E-03,-2.116049E-03,+1.390421E-03,-3.503723E-03
-1.764000E-03,-99.277699E-03,-2.241677E-03,+1.359014E-03,-3.596497E-03
